component	kind	reference_apks	area	status	evidence
ThreadSaveMhtmlDialogFragment	DIALOG	OLD_ONLY	thread	SUPERSEDED	shared/src/commonTest/kotlin/service/ThreadSaveServiceTest.kt#saveThread_writesMetadataAndRawHtmlWithRewrittenPaths
ThreadSaveService	SERVICE	FINAL_ONLY	thread	MATCH	shared/src/commonTest/kotlin/service/ThreadSaveServiceTest.kt#saveThread_writesMetadataAndRawHtmlWithRewrittenPaths;app-android/src/androidTest/java/com/valoser/futacha/ThreadSavePlatformContractInstrumentedTest.kt#foregroundSaveServiceAndRequiredPermissionsArePackaged
ThreadScrollDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPostAndScrollDialogsMatchReferenceLabelsAndConfirmationFlow
ThreadSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadDisplayOptionsMatchReferenceActivityPersistRawValuesAndReturnDirectly
ThreadSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadDisplayOptionsMatchReferenceActivityPersistRawValuesAndReturnDirectly
ThreadSpeechDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPostAndScrollDialogsMatchReferenceLabelsAndConfirmationFlow;shared/src/commonTest/kotlin/ui/compat/CompatReadAloudBatchSupportTest.kt#urlsAndReferenceSystemNoticesAreExcludedPerPost;app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt#historyEntry_opensReadAloudPlayerWithPlaybackControls
ThreadTabActivity	ACTIVITY	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadInitialDefaultLoadingArtworkHasVisibleMotionWhileRequestIsBlocked
ThreadTabCleanService	SERVICE	BOTH	thread-tabs	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatibilitySnapshotCacheInstrumentedTest.kt#threadTabAndHistoryCleanServicesUseReferenceTriggerAndTrimBoundaries;shared/src/iosTest/kotlin/compat/IosExperienceProfileStoreTest.kt#compatibilityTabAndHistoryCleanupMatchesReferenceBoundaries
ThreadTabFragment	FRAGMENT	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadInitialDefaultLoadingArtworkHasVisibleMotionWhileRequestIsBlocked
ThreadTabSelectorContextDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#selectorUpdateCheckUsesAllTabProbeInsteadOfReloadingCatalog
ThreadToolbarActivity	ACTIVITY	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
ThreadToolbarFragment	FRAGMENT	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
ThreadWebSearchDialogFragment	DIALOG	BOTH	web-search	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#postActionCandidates_andQuickQuote_keepLegacyFieldOrder;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadExtractionAndWebSearchDialogsMatchBothReferenceApks
TwitterActivity	ACTIVITY	BOTH	information	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatibilityInfoScreensTest.kt#futachaChangeLogContainsVersionsAndChangesOnly;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
ViewerActivity	ACTIVITY	BOTH	gallery-viewer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands;shared/src/commonTest/kotlin/compat/CompatViewerGestureSupportTest.kt#horizontalSwipeMovesOnePageWithoutWrapping
ViewerSearchSelectorDialogFragment	DIALOG	BOTH	media-search	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatImageSearchTest.kt#referenceTargetListAndDefaultsMatchOldUi1810b;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
ViewerSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#viewerPreloadPersistsFinalApkRawPolicies
ViewerSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#viewerPreloadPersistsFinalApkRawPolicies
ViewerToolbarActivity	ACTIVITY	BOTH	gallery-viewer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
ViewerToolbarFragment	FRAGMENT	BOTH	gallery-viewer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
WaitingDialogFragment	DIALOG	BOTH	common	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postSendUsesNonCancelableThemeLoadingDialogWhileRequestIsBlocked
